image_name,tags
test_0,clear primary
test_1,clear primary
test_2,partly_cloudy primary
test_3,clear primary
test_4,partly_cloudy primary cloudy
test_5,clear primary
test_6,clear partly_cloudy cultivation primary agriculture water
test_7,clear road habitation primary agriculture
test_8,clear primary
test_9,clear haze primary agriculture water
test_10,partly_cloudy primary
test_11,clear road partly_cloudy cultivation primary agriculture water
test_12,primary cloudy
test_13,clear road cultivation primary agriculture water
test_14,clear primary
test_15,clear primary
test_16,clear road cultivation habitation primary agriculture
test_17,clear partly_cloudy primary water
test_18,clear primary
test_19,clear road cultivation primary agriculture water
test_20,clear road cultivation habitation primary agriculture water
test_21,clear road primary agriculture water
test_22,clear road cultivation habitation primary agriculture water
test_23,cloudy
test_24,road partly_cloudy primary agriculture water
test_25,clear primary
test_26,clear road partly_cloudy habitation primary agriculture water
test_27,clear road primary agriculture
test_28,clear road partly_cloudy cultivation habitation primary agriculture water
test_29,clear primary
test_30,partly_cloudy primary agriculture
test_31,cloudy
test_32,clear primary
test_33,clear road primary agriculture water
test_34,cloudy
test_35,clear primary
test_36,clear primary
test_37,clear primary
test_38,clear primary
test_39,clear primary agriculture water
test_40,clear road cultivation habitation primary agriculture water
test_41,partly_cloudy primary
test_42,clear primary
test_43,clear primary
test_44,clear primary agriculture water
test_45,haze primary agriculture water cloudy
test_46,clear road primary agriculture water
test_47,clear primary
test_48,clear primary
test_49,clear road partly_cloudy haze primary agriculture water
test_50,clear primary
test_51,clear primary agriculture water
test_52,clear road habitation primary agriculture water
test_53,clear road cultivation habitation primary agriculture water
test_54,clear primary
test_55,partly_cloudy primary water
test_56,clear haze primary
test_57,clear road partly_cloudy cultivation primary agriculture water
test_58,clear primary
test_59,clear road habitation primary agriculture water
test_60,clear primary
test_61,cloudy
test_62,clear road primary agriculture water
test_63,clear primary
test_64,clear cultivation primary agriculture water
test_65,clear primary
test_66,clear primary
test_67,clear road cultivation habitation primary agriculture water
test_68,cloudy
test_69,clear cultivation primary agriculture water
test_70,clear primary
test_71,partly_cloudy primary
test_72,clear primary
test_73,clear partly_cloudy cultivation primary agriculture water
test_74,clear partly_cloudy cultivation primary agriculture water
test_75,clear road partly_cloudy cultivation habitation primary agriculture water
test_76,clear primary
test_77,clear primary
test_78,clear primary
test_79,clear road cultivation primary agriculture water
test_80,haze primary cloudy
test_81,haze primary cloudy
test_82,clear cultivation primary agriculture water
test_83,clear primary
test_84,clear road haze primary agriculture water
test_85,clear road primary agriculture water
test_86,clear primary
test_87,partly_cloudy primary
test_88,clear road cultivation primary agriculture water
test_89,cloudy
test_90,primary cloudy
test_91,clear road cultivation habitation primary agriculture water
test_92,cloudy
test_93,clear primary
test_94,clear primary
test_95,partly_cloudy primary agriculture water
test_96,partly_cloudy haze primary cloudy
test_97,clear primary
test_98,partly_cloudy primary
test_99,clear primary water cloudy
test_100,clear road cultivation habitation primary agriculture water
test_101,clear road habitation primary agriculture water
test_102,clear primary
test_103,clear cultivation primary agriculture
test_104,partly_cloudy primary
test_105,clear primary
test_106,clear haze primary
test_107,clear primary
test_108,road partly_cloudy primary agriculture
test_109,partly_cloudy primary agriculture water
test_110,partly_cloudy primary
test_111,partly_cloudy primary agriculture
test_112,partly_cloudy primary agriculture
test_113,clear primary
test_114,clear road primary agriculture water
test_115,clear road cultivation primary agriculture water
test_116,partly_cloudy primary agriculture
test_117,clear partly_cloudy cultivation primary agriculture water
test_118,clear road habitation primary agriculture
test_119,clear primary
test_120,clear road cultivation haze primary agriculture water
test_121,clear primary
test_122,clear primary
test_123,clear partly_cloudy cultivation primary agriculture water
test_124,clear primary
test_125,partly_cloudy primary
test_126,clear road cultivation primary agriculture water
test_127,cloudy
test_128,clear primary
test_129,clear primary
test_130,clear primary
test_131,clear primary
test_132,clear road cultivation primary agriculture water
test_133,clear road cultivation primary agriculture water
test_134,clear road cultivation primary agriculture water
test_135,clear road habitation primary agriculture
test_136,clear primary
test_137,clear road cultivation primary agriculture water
test_138,road partly_cloudy primary agriculture water cloudy
test_139,clear primary
test_140,clear road partly_cloudy cultivation primary agriculture water
test_141,clear primary
test_142,clear primary
test_143,clear road habitation primary agriculture
test_144,clear road cultivation haze primary agriculture water
test_145,clear road cultivation primary agriculture water
test_146,clear road cultivation habitation primary agriculture water
test_147,clear partly_cloudy cultivation primary agriculture water
test_148,partly_cloudy primary
test_149,clear partly_cloudy primary agriculture
test_150,clear road cultivation primary agriculture water
test_151,clear road cultivation primary agriculture water
test_152,clear road cultivation primary agriculture water
test_153,clear primary
test_154,clear primary
test_155,clear road cultivation habitation primary agriculture water
test_156,partly_cloudy primary agriculture
test_157,clear road partly_cloudy primary agriculture water
test_158,clear primary
test_159,partly_cloudy primary agriculture water
test_160,clear road haze primary agriculture
test_161,clear primary
test_162,clear primary agriculture water cloudy
test_163,partly_cloudy primary agriculture water
test_164,clear haze primary
test_165,partly_cloudy haze primary agriculture water cloudy
test_166,clear primary
test_167,clear primary
test_168,clear primary
test_169,partly_cloudy primary
test_170,road partly_cloudy primary agriculture water
test_171,clear primary water cloudy
test_172,cloudy
test_173,clear primary
test_174,clear road cultivation primary agriculture water
test_175,clear primary
test_176,clear partly_cloudy cultivation primary agriculture water
test_177,partly_cloudy primary agriculture water
test_178,haze primary agriculture
test_179,clear road partly_cloudy habitation primary agriculture water
test_180,clear primary
test_181,clear primary agriculture water
test_182,partly_cloudy primary
test_183,haze primary
test_184,clear primary
test_185,clear road partly_cloudy habitation primary agriculture water
test_186,clear road habitation primary agriculture
test_187,partly_cloudy primary
test_188,clear partly_cloudy cultivation primary agriculture water
test_189,clear road cultivation habitation primary agriculture water
test_190,clear road cultivation primary agriculture water
test_191,clear primary
test_192,clear primary
test_193,clear primary agriculture water
test_194,clear road habitation primary agriculture water
test_195,clear haze primary
test_196,clear primary
test_197,clear primary
test_198,clear road partly_cloudy primary agriculture water cloudy
test_199,clear road cultivation primary agriculture water
test_200,clear primary
test_201,haze primary cloudy
test_202,clear road partly_cloudy cultivation primary agriculture water
test_203,clear road partly_cloudy primary agriculture water
test_204,clear cultivation primary agriculture water
test_205,clear primary
test_206,clear primary
test_207,clear primary
test_208,clear haze primary
test_209,clear primary
test_210,clear primary
test_211,clear road habitation primary agriculture
test_212,clear road partly_cloudy primary agriculture water
test_213,clear road cultivation primary agriculture water
test_214,clear partly_cloudy cultivation primary agriculture
test_215,clear primary
test_216,clear primary
test_217,clear primary agriculture
test_218,clear road cultivation habitation primary agriculture
test_219,clear road cultivation primary agriculture water
test_220,cloudy
test_221,clear road partly_cloudy habitation primary agriculture water
test_222,partly_cloudy primary cloudy
test_223,clear primary
test_224,clear road cultivation primary agriculture water
test_225,clear primary
test_226,clear primary
test_227,clear partly_cloudy cultivation primary agriculture water
test_228,clear road cultivation haze primary agriculture water
test_229,clear road cultivation habitation primary agriculture water
test_230,clear road partly_cloudy cultivation habitation primary agriculture water
test_231,partly_cloudy primary agriculture
test_232,clear haze primary
test_233,clear primary
test_234,clear primary
test_235,clear primary
test_236,clear primary
test_237,partly_cloudy primary
test_238,clear road partly_cloudy habitation primary agriculture water
test_239,clear partly_cloudy cultivation primary agriculture water
test_240,clear road partly_cloudy cultivation habitation primary agriculture water
test_241,road partly_cloudy primary agriculture water cloudy
test_242,clear road cultivation habitation primary agriculture water
test_243,clear road habitation primary agriculture water artisinal_mine
test_244,clear primary
test_245,clear primary
test_246,clear primary
test_247,clear primary
test_248,clear road cultivation habitation primary agriculture
test_249,clear road cultivation habitation primary agriculture water
test_250,clear road habitation primary agriculture
test_251,clear road habitation primary water
test_252,clear road cultivation habitation primary agriculture water
test_253,partly_cloudy primary
test_254,clear primary
test_255,clear primary
test_256,clear primary
test_257,clear road cultivation primary agriculture water
test_258,clear primary
test_259,clear cultivation primary agriculture water
test_260,clear primary
test_261,clear primary
test_262,clear road cultivation primary agriculture water
test_263,clear road bare_ground primary agriculture water
test_264,clear haze primary
test_265,partly_cloudy primary agriculture water
test_266,partly_cloudy primary agriculture water
test_267,clear primary
test_268,clear road cultivation habitation primary agriculture water
test_269,clear road cultivation habitation primary agriculture water
test_270,clear road partly_cloudy primary agriculture water
test_271,clear primary
test_272,clear road partly_cloudy habitation primary agriculture water
test_273,clear haze primary
test_274,clear road cultivation habitation primary agriculture water
test_275,haze primary cloudy
test_276,clear road primary agriculture water
test_277,clear road haze primary agriculture water
test_278,clear primary
test_279,clear primary agriculture water
test_280,clear partly_cloudy cultivation primary agriculture water
test_281,clear road bare_ground primary agriculture water
test_282,clear road habitation primary agriculture water
test_283,clear primary
test_284,clear primary
test_285,clear road cultivation habitation primary agriculture
test_286,clear partly_cloudy cultivation primary agriculture water
test_287,clear road cultivation primary agriculture water
test_288,clear road habitation primary agriculture water
test_289,clear road cultivation habitation primary agriculture water
test_290,clear primary
test_291,clear road cultivation habitation primary agriculture water
test_292,clear primary
test_293,clear road cultivation habitation primary agriculture
test_294,clear primary
test_295,clear road primary agriculture water
test_296,partly_cloudy primary agriculture
test_297,clear primary
test_298,partly_cloudy primary agriculture water cloudy
test_299,clear primary
test_300,partly_cloudy primary agriculture water cloudy
test_301,clear cultivation primary agriculture water
test_302,clear primary
test_303,partly_cloudy primary
test_304,clear road cultivation primary agriculture water
test_305,clear road haze primary agriculture water
test_306,clear road cultivation primary agriculture water
test_307,clear cultivation primary agriculture water
test_308,partly_cloudy primary agriculture
test_309,clear primary
test_310,clear haze primary
test_311,clear primary
test_312,clear primary
test_313,clear road partly_cloudy cultivation habitation primary agriculture water
test_314,cloudy
test_315,clear primary
test_316,partly_cloudy primary cloudy
test_317,clear primary
test_318,partly_cloudy primary water
test_319,road partly_cloudy primary agriculture water cloudy
test_320,clear primary agriculture
test_321,clear primary
test_322,clear primary
test_323,clear primary
test_324,clear primary
test_325,clear road cultivation habitation primary agriculture
test_326,clear primary
test_327,clear primary
test_328,clear primary
test_329,clear road habitation primary agriculture water
test_330,clear primary
test_331,haze primary
test_332,clear primary
test_333,clear road cultivation habitation primary agriculture water
test_334,road partly_cloudy primary agriculture water
test_335,partly_cloudy primary
test_336,clear primary agriculture
test_337,clear road habitation primary agriculture water
test_338,clear road cultivation habitation primary agriculture water
test_339,clear cultivation primary agriculture water
test_340,clear road cultivation primary agriculture
test_341,clear road cultivation primary agriculture water
test_342,haze primary cloudy
test_343,clear road habitation primary agriculture
test_344,clear road cultivation habitation primary agriculture water
test_345,clear road partly_cloudy primary agriculture water
test_346,clear primary
test_347,clear road partly_cloudy primary agriculture water
test_348,clear road haze primary agriculture water
test_349,clear road primary agriculture water
test_350,clear road cultivation primary agriculture water
test_351,clear primary
test_352,clear primary
test_353,clear primary water cloudy
test_354,clear primary
test_355,clear primary
test_356,clear road primary agriculture water
test_357,clear primary
test_358,haze primary
test_359,clear road cultivation primary agriculture water
test_360,clear road cultivation primary agriculture water
test_361,partly_cloudy primary cloudy
test_362,clear road habitation primary agriculture water
test_363,clear road partly_cloudy habitation primary agriculture water
test_364,clear road primary agriculture water
test_365,clear primary
test_366,clear road habitation primary agriculture water
test_367,clear partly_cloudy haze primary agriculture water
test_368,clear primary
test_369,clear road cultivation habitation primary agriculture
test_370,clear primary
test_371,clear primary
test_372,clear road primary agriculture water
test_373,haze primary cloudy
test_374,road haze primary agriculture water
test_375,clear partly_cloudy primary agriculture water
test_376,clear primary
test_377,partly_cloudy primary
test_378,partly_cloudy primary agriculture
test_379,haze primary cloudy
test_380,clear road cultivation primary agriculture water
test_381,clear primary
test_382,road partly_cloudy primary agriculture water
