image_name,tags
test_0,clear primary
test_1,clear primary
test_2,partly_cloudy primary
test_3,clear primary
test_4,cloudy partly_cloudy
test_5,clear primary
test_6,partly_cloudy primary
test_7,cloudy
test_8,clear primary
test_9,cloudy haze partly_cloudy primary
test_10,partly_cloudy primary road
test_11,partly_cloudy primary
test_12,cloudy
test_13,agriculture clear primary water
test_14,clear primary
test_15,clear primary
test_16,partly_cloudy primary
test_17,partly_cloudy primary
test_18,clear primary
test_19,agriculture clear cultivation partly_cloudy primary
test_20,partly_cloudy primary
test_21,partly_cloudy primary
test_22,partly_cloudy primary
test_23,cloudy
test_24,partly_cloudy primary
test_25,clear primary
test_26,partly_cloudy primary
test_27,clear partly_cloudy primary water
test_28,partly_cloudy primary
test_29,clear primary
test_30,partly_cloudy primary
test_31,cloudy
test_32,clear primary
test_33,haze partly_cloudy primary water
test_34,cloudy
test_35,clear primary
test_36,clear primary
test_37,clear primary
test_38,clear primary
test_39,clear primary
test_40,partly_cloudy primary water
test_41,partly_cloudy primary
test_42,clear primary
test_43,clear primary
test_44,clear partly_cloudy primary
test_45,cloudy partly_cloudy primary
test_46,cloudy partly_cloudy primary
test_47,clear primary
test_48,clear primary
test_49,haze partly_cloudy primary
test_50,clear primary
test_51,clear primary water
test_52,partly_cloudy primary
test_53,agriculture partly_cloudy primary
test_54,clear primary
test_55,partly_cloudy primary
test_56,clear haze primary
test_57,partly_cloudy primary
test_58,clear primary
test_59,cloudy
test_60,partly_cloudy primary
test_61,cloudy
test_62,haze primary
test_63,clear primary
test_64,partly_cloudy primary
test_65,clear primary
test_66,clear primary
test_67,partly_cloudy primary
test_68,cloudy
test_69,partly_cloudy primary
test_70,clear primary
test_71,partly_cloudy primary
test_72,clear primary
test_73,partly_cloudy primary
test_74,partly_cloudy primary
test_75,partly_cloudy primary
test_76,clear primary
test_77,clear primary
test_78,clear primary
test_79,partly_cloudy primary
test_80,cloudy haze primary
test_81,cloudy
test_82,partly_cloudy primary
test_83,clear partly_cloudy primary
test_84,partly_cloudy primary
test_85,partly_cloudy primary
test_86,agriculture clear primary
test_87,partly_cloudy primary
test_88,partly_cloudy primary
test_89,cloudy
test_90,cloudy
test_91,partly_cloudy primary
test_92,cloudy
test_93,clear primary
test_94,clear primary
test_95,partly_cloudy primary
test_96,partly_cloudy primary
test_97,clear primary
test_98,partly_cloudy primary
test_99,cloudy
test_100,partly_cloudy primary
test_101,cloudy
test_102,clear primary
test_103,clear partly_cloudy primary water
test_104,agriculture partly_cloudy primary
test_105,clear primary
test_106,clear haze primary water
test_107,clear primary
test_108,partly_cloudy primary
test_109,partly_cloudy primary
test_110,partly_cloudy primary water
test_111,partly_cloudy primary
test_112,partly_cloudy primary
test_113,clear haze primary
test_114,partly_cloudy primary
test_115,partly_cloudy primary
test_116,partly_cloudy primary
test_117,partly_cloudy primary
test_118,partly_cloudy primary road
test_119,clear primary
test_120,partly_cloudy primary
test_121,clear primary
test_122,clear primary
test_123,partly_cloudy primary
test_124,partly_cloudy primary
test_125,partly_cloudy primary
test_126,partly_cloudy primary
test_127,cloudy
test_128,clear primary
test_129,clear primary
test_130,clear primary
test_131,clear primary
test_132,partly_cloudy primary
test_133,partly_cloudy primary
test_134,partly_cloudy primary
test_135,partly_cloudy primary
test_136,clear primary
test_137,partly_cloudy primary
test_138,partly_cloudy primary
test_139,primary
test_140,partly_cloudy primary
test_141,agriculture clear primary
test_142,clear primary
test_143,partly_cloudy primary
test_144,partly_cloudy primary
test_145,partly_cloudy primary
test_146,partly_cloudy primary
test_147,partly_cloudy primary
test_148,partly_cloudy primary
test_149,partly_cloudy primary
test_150,partly_cloudy primary
test_151,partly_cloudy primary
test_152,agriculture clear cultivation primary
test_153,clear primary
test_154,clear primary
test_155,partly_cloudy primary
test_156,partly_cloudy primary
test_157,agriculture partly_cloudy primary
test_158,clear primary
test_159,partly_cloudy primary
test_160,haze partly_cloudy primary
test_161,clear primary
test_162,haze primary
test_163,partly_cloudy primary
test_164,haze primary
test_165,partly_cloudy primary
test_166,clear primary
test_167,clear primary
test_168,clear primary
test_169,partly_cloudy primary
test_170,partly_cloudy primary
test_171,cloudy
test_172,cloudy
test_173,clear primary
test_174,partly_cloudy primary
test_175,clear primary
test_176,partly_cloudy primary
test_177,partly_cloudy primary
test_178,haze primary
test_179,partly_cloudy primary
test_180,blooming partly_cloudy primary
test_181,partly_cloudy primary
test_182,partly_cloudy primary
test_183,haze primary
test_184,clear primary
test_185,partly_cloudy primary
test_186,partly_cloudy primary
test_187,partly_cloudy primary
test_188,partly_cloudy primary
test_189,partly_cloudy primary
test_190,partly_cloudy primary
test_191,clear primary
test_192,clear primary
test_193,partly_cloudy primary
test_194,partly_cloudy primary
test_195,haze primary
test_196,clear primary
test_197,clear primary
test_198,partly_cloudy primary
test_199,partly_cloudy primary
test_200,clear primary
test_201,haze primary
test_202,partly_cloudy primary
test_203,cloudy
test_204,partly_cloudy primary
test_205,clear primary
test_206,clear primary
test_207,clear primary
test_208,clear cloudy water
test_209,clear primary
test_210,clear primary
test_211,cloudy partly_cloudy
test_212,partly_cloudy primary
test_213,partly_cloudy primary
test_214,partly_cloudy primary
test_215,clear partly_cloudy primary
test_216,clear primary water
test_217,clear primary
test_218,clear partly_cloudy primary
test_219,partly_cloudy primary
test_220,cloudy
test_221,partly_cloudy primary
test_222,cloudy
test_223,clear primary
test_224,partly_cloudy primary
test_225,clear primary
test_226,clear primary
test_227,partly_cloudy primary water
test_228,partly_cloudy primary
test_229,partly_cloudy primary
test_230,partly_cloudy primary
test_231,partly_cloudy primary
test_232,haze primary
test_233,clear primary
test_234,clear primary
test_235,clear primary
test_236,clear primary
test_237,partly_cloudy primary
test_238,partly_cloudy primary
test_239,partly_cloudy primary
test_240,partly_cloudy primary
test_241,cloudy
test_242,partly_cloudy primary
test_243,partly_cloudy primary
test_244,clear primary
test_245,clear primary
test_246,clear primary
test_247,clear primary
test_248,partly_cloudy primary
test_249,partly_cloudy primary
test_250,partly_cloudy primary
test_251,cloudy
test_252,partly_cloudy primary
test_253,partly_cloudy primary
test_254,clear primary
test_255,clear primary
test_256,clear partly_cloudy primary
test_257,partly_cloudy primary water
test_258,clear primary
test_259,clear primary water
test_260,clear haze primary
test_261,clear primary
test_262,partly_cloudy primary
test_263,partly_cloudy primary
test_264,clear haze primary
test_265,cloudy partly_cloudy primary
test_266,partly_cloudy primary road
test_267,clear primary
test_268,partly_cloudy primary
test_269,partly_cloudy primary
test_270,partly_cloudy primary
test_271,clear primary
test_272,agriculture partly_cloudy primary road
test_273,haze primary
test_274,partly_cloudy primary road
test_275,cloudy haze primary
test_276,haze partly_cloudy primary
test_277,haze partly_cloudy primary
test_278,clear primary
test_279,partly_cloudy primary
test_280,partly_cloudy primary
test_281,clear haze primary
test_282,partly_cloudy primary
test_283,clear primary
test_284,clear primary
test_285,partly_cloudy primary
test_286,partly_cloudy primary
test_287,partly_cloudy primary
test_288,partly_cloudy primary
test_289,partly_cloudy primary
test_290,clear primary
test_291,partly_cloudy primary
test_292,clear primary
test_293,partly_cloudy primary
test_294,clear primary
test_295,haze partly_cloudy primary
test_296,partly_cloudy primary
test_297,clear primary
test_298,agriculture partly_cloudy primary road
test_299,clear primary
test_300,cloudy
test_301,partly_cloudy primary
test_302,clear primary
test_303,partly_cloudy primary
test_304,partly_cloudy primary
test_305,haze partly_cloudy primary
test_306,partly_cloudy primary
test_307,agriculture clear primary
test_308,partly_cloudy primary
test_309,clear primary
test_310,clear haze primary water
test_311,clear primary
test_312,clear primary
test_313,partly_cloudy primary
test_314,cloudy
test_315,partly_cloudy primary
test_316,cloudy
test_317,clear primary
test_318,partly_cloudy primary
test_319,partly_cloudy primary
test_320,clear primary
test_321,clear haze primary
test_322,clear primary
test_323,clear primary
test_324,clear primary
test_325,partly_cloudy primary
test_326,clear primary
test_327,clear primary
test_328,clear primary
test_329,partly_cloudy primary
test_330,clear primary
test_331,haze primary
test_332,clear primary
test_333,partly_cloudy primary
test_334,cloudy partly_cloudy
test_335,partly_cloudy primary
test_336,haze partly_cloudy primary
test_337,agriculture cloudy haze partly_cloudy primary
test_338,partly_cloudy primary water
test_339,partly_cloudy primary
test_340,partly_cloudy primary
test_341,partly_cloudy primary
test_342,cloudy
test_343,partly_cloudy primary
test_344,partly_cloudy primary
test_345,partly_cloudy primary road
test_346,clear primary
test_347,partly_cloudy primary
test_348,partly_cloudy primary
test_349,haze partly_cloudy primary
test_350,partly_cloudy primary
test_351,clear primary
test_352,clear primary
test_353,cloudy
test_354,clear primary
test_355,clear primary
test_356,partly_cloudy primary
test_357,clear primary
test_358,haze primary
test_359,partly_cloudy primary
test_360,clear partly_cloudy primary
test_361,cloudy
test_362,partly_cloudy primary
test_363,partly_cloudy primary
test_364,haze partly_cloudy primary
test_365,clear primary
test_366,partly_cloudy primary water
test_367,haze partly_cloudy primary
test_368,clear primary
test_369,partly_cloudy primary
test_370,clear primary
test_371,clear primary
test_372,cloudy primary road water
test_373,cloudy haze primary
test_374,partly_cloudy primary
test_375,partly_cloudy primary
test_376,clear primary
test_377,partly_cloudy primary
test_378,agriculture partly_cloudy primary
test_379,cloudy haze primary
test_380,partly_cloudy primary
test_381,clear primary
test_382,partly_cloudy primary road
test_383,cloudy
test_384,clear haze primary
test_385,haze partly_cloudy primary
test_386,clear primary
test_387,clear primary
test_388,primary
test_389,partly_cloudy primary
test_390,partly_cloudy primary
test_391,clear primary
test_392,partly_cloudy primary
test_393,partly_cloudy primary
test_394,clear primary
test_395,partly_cloudy primary
test_396,clear primary
test_397,clear primary
test_398,agriculture partly_cloudy primary
test_399,partly_cloudy primary
test_400,clear primary
test_401,clear primary
test_402,cloudy
test_403,clear primary
test_404,clear partly_cloudy primary
test_405,clear primary
test_406,haze primary
test_407,clear primary
test_408,clear primary water
test_409,clear primary
test_410,cloudy
test_411,partly_cloudy primary
test_412,partly_cloudy primary
test_413,clear haze primary
test_414,cloudy
test_415,clear primary
test_416,partly_cloudy primary
test_417,partly_cloudy primary
test_418,clear primary
test_419,partly_cloudy primary
test_420,partly_cloudy primary
test_421,clear haze primary
test_422,clear primary
test_423,clear primary
test_424,partly_cloudy primary
test_425,clear primary
test_426,partly_cloudy primary
test_427,partly_cloudy primary
test_428,clear partly_cloudy primary
test_429,partly_cloudy primary
test_430,agriculture partly_cloudy primary
test_431,clear primary
test_432,clear primary
test_433,clear primary
test_434,partly_cloudy primary
test_435,agriculture partly_cloudy primary road
test_436,cloudy
test_437,clear primary
test_438,partly_cloudy primary
test_439,partly_cloudy primary
test_440,partly_cloudy primary
test_441,clear primary
test_442,partly_cloudy primary
test_443,partly_cloudy primary water
test_444,partly_cloudy primary
test_445,clear primary
test_446,partly_cloudy primary
test_447,clear primary water
test_448,partly_cloudy primary
test_449,cloudy haze primary
test_450,partly_cloudy primary
test_451,cloudy
test_452,cloudy haze primary
test_453,clear primary
test_454,clear primary
test_455,clear primary
test_456,cloudy
test_457,partly_cloudy primary
test_458,partly_cloudy primary
test_459,clear primary
test_460,clear primary
test_461,partly_cloudy primary
test_462,clear primary
test_463,clear primary
test_464,partly_cloudy primary
test_465,partly_cloudy primary
test_466,partly_cloudy primary
test_467,partly_cloudy primary
test_468,clear primary
test_469,clear primary
test_470,clear primary
test_471,clear primary
test_472,partly_cloudy primary
test_473,partly_cloudy primary
test_474,partly_cloudy primary
test_475,clear primary
test_476,partly_cloudy water
test_477,partly_cloudy primary road
test_478,partly_cloudy primary
test_479,cloudy haze primary
